v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
ham,Do u noe wat time e place dat sells 4d closes?,,,
ham,"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\""""",,,
ham,Geeeee ... I love you so much I can barely stand it,,,
ham,Easy ah?sen got selected means its good..,,,
ham,K.k..how is your sister kids?,,,
ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,,,
ham,Ok... I din get ur msg...,,,
ham,"Nah, I'm a perpetual DD",,,
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",,,
ham,K. Did you call me just now ah? ,,,
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,,,
ham,Im good! I have been thinking about you...,,,
ham,Ya just telling abt tht incident..,,,
ham,Just haven't decided where yet eh ?,,,
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,,,
ham,Will you come online today night,,,
ham,Ok that's great thanx a lot.,,,
ham,Okie...,,,
ham,Hey happy birthday...,,,
ham,I'm ok. Will do my part tomorrow,,,
ham,Ok thanx... Take care then...,,,
spam,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,,,
ham,No my mum went 2 dentist.,,,
ham,No go. No openings for that room 'til after thanksgiving without an upcharge.,,,
ham,Are you coming to day for class.,,,
ham,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",,,
ham,Thankyou so much for the call. I appreciate your care.,,,
ham,O i played smash bros  &lt;#&gt;  religiously.,,,
spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,,,
ham,ELLO BABE U OK?,,,
ham,We got a divorce. Lol. She.s here,,,
ham,You will go to walmart. I.ll stay.,,,
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,,,
ham,"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answered: . . \""She is fine!\"" Gudnite""",,,
ham,Ok thanx...,,,
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,,,
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,,,
ham,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",,,
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",,,
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",,,
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",,,
ham,How do you guys go to see movies on your side.,,,
ham,I havent add Ì_ yet right.. ,,,
ham,"Nah I don't think he goes to usf, he lives around here though",,,
ham,Sounds great! Im going to sleep now. Have a good night!,,,
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,,,
ham,Is that on the telly? No its Brdget Jones!,,,
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,,,
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
ham,I though we shd go out n have some fun so bar in town or something ÛÒ sound ok?,,,
ham,"Haha, just what I was thinkin",,,
spam,Win a å£1000 cash prize or a prize worth å£5000,,,
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,,,
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,,,
ham,Pls speak to that customer machan.,,,
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",,,
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
ham,Company is very good.environment is terrific and food is really nice:),,,
ham,And maybe some pressies,,,
ham,I fetch yun or u fetch?,,,
ham,Are you free now?can i call now?,,,
ham,DO U WANT 2 MEET UP 2MORRO,,,
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",,,
ham,"Hi Chikku, send some nice msgs",,,
ham,Thanks for looking out for me. I really appreciate.,,,
ham,Big brotherÛ÷s really scraped the barrel with this shower of social misfits,,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",,,
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,,,
ham,Now only i reached home. . . I am very tired now. . I will come tomorro,,,
ham,Well. Balls. Time to make calls,,,
ham,Do u hav any frnd by name ashwini in ur college?,,,
ham,ÌÏ bot notes oredi... Cos i juz rem i got...,,,
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",,,
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,,,
ham,We are okay. Going to sleep now. Later,,,
ham,K..give back my thanks.,,,
ham,Forgot to tell Ì_ smth.. Can Ì_ like number the sections so that it's clearer..,,,
ham,Thanks chikku..:-) gud nyt:-*,,,
ham,Still in the area of the restaurant. Ill try to come back soon,,,
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,,,
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
ham,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,"U NO THECD ISV.IMPORTANT TOME 4 2MORO\""""",
ham,Indeed and by the way it was either or - not both !,,,
ham,S s..first time..dhoni rocks...,,,
ham,Huh so early.. Then Ì_ having dinner outside izzit?,,,
ham,Have you not finished work yet or something?,,,
ham,Takin a shower now but yeah I'll leave when I'm done,,,
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",,,
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",,,
ham,Even i cant close my eyes you are in me our vava playing umma :-D,,,
ham,"Night night, see you tomorrow",,,
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week,,,
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,,,
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,,,
ham,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx,,,
ham,It's ok lar. U sleep early too... Nite...,,,
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,,,
ham,Are you willing to go for aptitude class.,,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,,,
ham,In sch but neva mind u eat 1st lor..,,,
ham,I sent lanre fakeye's Eckankar details to the mail box,,,
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,
ham,That's y u haf 2 keep me busy...,,,
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,,,
ham,Lol yeah at this point I guess not,,,
ham,S but not able to sleep.,,,
ham,I gotta collect da car at 6 lei.,,,
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
ham,Umma. Did she say anything,,,
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck,,,
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,,,
ham,"We are hoping to get away by 7, from Langport. You still up for town tonight?",,,
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,,,
ham,Yeah I can still give you a ride,,,
ham,I have many dependents,,,
ham,Hey gals...U all wanna meet 4 dinner at nÌÂte? ,,,
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
spam,3. You have received your mobile content. Enjoy,,,
ham,Yo dude guess who just got arrested the other day,,,
ham,You said not now. No problem. When you can. Let me know.,,,
ham,Dude how do you like the buff wind.,,,
ham,"I av a new number,  . Wil u only use this one,ta.",,,
ham,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.,,,
ham,Are you not around or just still asleep? :V,,,
ham,"Babe, I'm back ... Come back to me ...",,,
ham,"I dont knw pa, i just drink milk..",,,
ham,No no. I will check all rooms befor activities,,,
ham,Ofcourse I also upload some songs,,,
ham,"Aight, I'll ask a few of my roommates",,,
ham,Well she's in for a big surprise!,,,
ham,Hows the pain dear?y r u smiling?,,,
ham,Leave it. U will always be ignorant.,,,
ham,Wat r u doing now?,,,
ham,Ard 530 like dat lor. We juz meet in mrt station then Ì_ dun haf to come out.,,,
ham,Ok. Very good. Its all about making that money.,,,
ham,... Are you in the pub?,,,
ham,"I hav almost reached. Call, i m unable to connect u.",,,
ham,I was slept that time.you there?,,,
ham,The hair cream has not been shipped.,,,
ham,Where are you lover ? I need you ...,,,
ham,Sorry me going home first... Daddy come fetch Ì_ later...,,,
ham,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born", GOD said," \""OH No! COMPETITION\"". Who knew"," one day these two will become FREINDS FOREVER!"""
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",,,
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,,,
ham,DonÛ÷t give a flying monkeys wot they think and I certainly donÛ÷t mind. Any friend of mine and all that!,,,
ham,You still at the game?,,,
ham,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",,,
ham,Esplanade lor. Where else...,,,
ham,Yes we are chatting too.,,,
ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",,,
spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),,,
ham,Call him and say you not coming today ok and tell them not to fool me like this ok,,,
ham,Infact happy new year. How are you where are you when are we seeing,,,
ham,A bloo bloo bloo I'll miss the first bowl,,,
ham,Simply sitting and watching match in office..,,,
ham,You tell what happen dont behave like this to me. Ok no need to say,,,
ham,Oh baby of the house. How come you dont have any new pictures on facebook,,,
ham,Do you know when dad will be back?,,,
ham,"I've got ten bucks, jay is being noncomittal",,,
ham,Tmr timin still da same wat cos i got lesson until 6...,,,
ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,,,
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x,,,
spam,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",,,
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",,,
ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",,,
ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",,,
ham,Oh k...i'm watching here:),,,
ham,"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDåÕS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\""""",,,
ham,"That's fine, have him give me a call if he knows what he wants or has any questions",,,
ham,R u meeting da ge at nite tmr?,,,
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..",,,
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,,,
ham,No..its ful of song lyrics..,,,
ham,Dont know you bring some food,,,
ham,Just glad to be talking to you.,,,
ham,"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?",,,
ham,Heehee that was so funny tho,,,
ham,So i asked how's anthony. Dad. And your bf,,,
ham,How's ur paper?,,,
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,,,
ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",,,
ham,"Princess, is your kitty shaved or natural?",,,
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,,,
ham,Re your call; You didn't see my facebook huh?,,,
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",,,
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,,,
ham,Hi. I'm sorry i missed your call. Can you pls call back.,,,
ham,I'm home...,,,
ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...,,,
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,,,
ham,Yup but it's not giving me problems now so mayb i'll jus leave it...,,,
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,,,
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",,,
ham,Dear good morning now only i am up,,,
ham,Having lunch:)you are not in online?why?,,,
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack",,,
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",,,
ham,TaKe CaRE n gET WeLL sOOn,,,
ham,"Sorry, I can't help you on this.",,,
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",,,
ham,What time you coming down later? ,,,
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",,,
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,,,
ham,Tell them u have a headache and just want to use 1 hour of sick time.,,,
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",,,
ham,Sent me ur email id soon,,,
ham,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,,,
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",,,
ham,Dunno he jus say go lido. Same time 930.,,,
ham,"As usual..iam fine, happy &amp; doing well..:)",,,
ham,How is it possible to teach you. And where.,,,
ham,But you dint in touch with me.,,,
ham,Sorry de i went to shop.,,,
ham,"Not much, just some textin'. How bout you?",,,
spam,You have 1 new voicemail. Please call 08719181513.,,,
ham,"There'll be a minor shindig at my place later tonight, you interested?",,,
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.",,,
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,,,
ham,What's the significance?,,,
ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",,,
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... ",,,
ham,"Whatever, juliana. Do whatever you want.",,,
ham,Hui xin is in da lib.,,,
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,,,
ham,IM GONNA MISS U SO MUCH,,,
ham,I am in bus on the way to calicut,,,
ham,He is a womdarfull actor,,,
ham,Spoons it is then okay?,,,
ham,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,,,
ham,Tmrw. Im finishing 9 doors,,,
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,,,
ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,,,
spam,Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,,,
ham,Ugh hopefully the asus ppl dont randomly do a reformat.,,,
ham,Hi Petey!noiåÕm ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x,,,
ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, ",,,
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,,,
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",,,
ham,Die... Now i have e toot fringe again...,,,
ham,I'm done oredi...,,,
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",,,
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800,,,
ham,I don't know but I'm raping dudes at poker,,,
ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,,,
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy \VALENTINES DAY\"" in advance""",,,
ham,You should get more chicken broth if you want ramen unless there's some I don't know about,,,
ham,R u here yet? I'm wearing blue shirt n black pants.,,,
ham,It shall be fine. I have avalarr now. Will hollalater,,,
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,,,
ham,Your brother is a genius,,,
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",,,
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,,,
ham,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel,"u hav2hear it!c u sn xxxx\""""",,
ham,Thts wat Wright Brother did to fly..,,,
ham,"THATåÕS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONåÕT WORRY.C U L8TR HUN!LOVE Yaxxx",,,
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,,,
ham,Lol I would but despite these cramps I like being a girl.,,,
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386 ,,,
ham,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...,,,
ham,Er mw im filled tuth is aight,,,
ham,ÌÏ thk of wat to eat tonight.,,,
ham,Me fine..absolutly fine,,,
ham,Kent vale lor... ÌÏ wait 4 me there ar?,,,
ham,"Miss ya, need ya, want ya, love ya.",,,
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",,,
ham,Who's there say hi to our drugdealer,,,
spam,"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",,,
ham,Good. Good job. I like entrepreneurs,,,
ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",,,
ham,I'm always looking for an excuse to be in the city.,,,
ham,Morning only i can ok.,,,
ham,On the road so cant txt,,,
ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",,,
ham,"Ta-Daaaaa! I am home babe, are you still up ?",,,
ham,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",,,
ham,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",,,
ham,Ok lor. Msg me b4 u call.,,,
ham,Congrats kano..whr s the treat maga?,,,
ham,"Hm good morning, headache anyone? :-)",,,
ham,Yes. that will be fine. Love you. Be safe.,,,
ham,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",,,
ham,Ok.. ÌÏ finishing soon?,,,
ham,No problem. Talk to you later,,,
ham,"Sir, i am waiting for your call.",,,
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,,,
ham,Long beach lor. Expected... U having dinner now?,,,
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
ham,Hi' Test on  &lt;#&gt; rd ....,,,
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA,,,
ham,what is your account number?,,,
ham,Ok i go change also...,,,
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,,,
ham,"Oh... Icic... K lor, den meet other day...",,,
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,,,
ham,I went to project centre,,,
ham,So Ì_'ll be submitting da project tmr rite?,,,
ham,"Great. I'm in church now, will holla when i get out",,,
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,,,
ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""," Gud night....""",,
ham,Ok c Ì_ then.,,,
ham,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!ö´Ó_??Û¬ud evening...,,,
ham,What type of stuff do you sing?,,,
ham,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,,,
ham,Aight should I just plan to come up later tonight?,,,
ham,Sac will score big hundred.he is set batsman:-),,,
ham,jay says he'll put in  &lt;#&gt;,,,
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY,,,
ham,Then ur sis how?,,,
spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,,,
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,,,
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",,,
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak,,,
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
ham,"Haha awesome, be there in a minute",,,
spam,You have 1 new message. Please call 08715205273,,,
ham,"Sorry, I'll call later",,,
ham,Many times we lose our best ones bcoz we are ,,,
spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",,,
ham,Aiyah then i wait lor. Then u entertain me. Hee...,,,
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,,,
ham,Where is that one day training:-),,,
ham,If i said anything wrong sorry de:-),,,
ham,Ok. No wahala. Just remember that a friend in need ...,,,
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,,,
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",,,
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!,,,
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,,,
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
ham,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,,,
ham,I'm at home. Please call,,,
ham,Lil fever:) now fine:),,,
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho",,,
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",,,
ham,I'll be at mu in like  &lt;#&gt;  seconds,,,
ham,What happen to her tell the truth,,,
spam,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP Arrow,,,
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",,,
ham,Gud mrng dear hav a nice day,,,
ham,Where are you?when wil you reach here?,,,
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
ham,If you're not in my car in an hour and a half I'm going apeshit,,,
spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,,,
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,,,
ham,Don know..wait i will check it.,,,
